dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
FreezerRegularTrain,0.996,0.981,0.864,0.516,0.427,0.365,0.365,0.502,0.499,0.446,0.9564912280701754,0.9491228070175438,0.7729824561403509,0.5129824561403509,0.4554385964912281,0.4708771929824561,0.4708771929824561,0.5592982456140351,0.6024561403508772,0.5189473684210526,0.9470175438596492,0.9010526315789472,0.887719298245614,0.6940350877192982,0.147719298245614,0.1245614035087719,0.1245614035087719,0.5775438596491228,0.5866666666666667,0.1042105263157894
Fungi,0.935,0.93,0.737,0.871,0.634,0.559,0.355,0.14,0.118,0.425,0.9301075268817204,0.8548387096774194,0.5483870967741935,0.7365591397849462,0.4569892473118279,0.3010752688172043,0.3010752688172043,0.1397849462365591,0.1451612903225806,0.2580645161290322,0.8709677419354839,0.8279569892473119,0.5860215053763441,0.6290322580645161,0.3978494623655914,0.3548387096774194,0.3548387096774194,0.2311827956989247,0.1505376344086021,0.3387096774193548
GunPoint,0.96,0.867,0.5,0.9,0.38,0.38,0.380,0.667,0.527,0.367,0.9133333333333332,0.8466666666666667,0.5066666666666667,0.8733333333333333,0.2933333333333333,0.2866666666666667,0.2866666666666667,0.8133333333333334,0.7866666666666666,0.3,0.9133333333333332,0.7666666666666667,0.4933333333333333,0.8,0.4333333333333333,0.2866666666666667,0.2866666666666667,0.4933333333333333,0.4933333333333333,0.4533333333333333
GunPointAgeSpan,0.981,0.706,0.639,0.43,0.513,0.494,0.544,0.731,0.734,0.557,0.9335443037974684,0.7215189873417721,0.4715189873417721,0.5981012658227848,0.6424050632911392,0.240506329113924,0.240506329113924,0.5474683544303798,0.4841772151898734,0.5949367088607594,0.9588607594936708,0.5759493670886076,0.3639240506329114,0.5126582278481012,0.4936708860759494,0.490506329113924,0.490506329113924,0.6044303797468354,0.5632911392405063,0.4841772151898734
GunPointMaleVersusFemale,1.0,0.889,0.532,0.997,0.294,0.288,0.288,0.744,0.737,0.282,0.9525316455696202,0.8734177215189873,0.9208860759493672,1.0,0.5348101265822784,0.5379746835443038,0.5379746835443038,0.7373417721518988,0.7373417721518988,0.5854430379746836,0.971518987341772,0.879746835443038,0.7088607594936709,1.0,0.4683544303797468,0.4240506329113924,0.4240506329113924,0.7246835443037974,0.7373417721518988,0.4715189873417721
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,0.997,0.984,0.984,1.0,1.0,1.0,0.9682539682539684,0.8317460317460318,0.8095238095238095,0.5365079365079365,0.6063492063492063,0.7682539682539683,0.7682539682539683,0.5238095238095238,0.5238095238095238,0.6444444444444445,0.9873015873015872,0.6317460317460317,0.5238095238095238,0.8095238095238095,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.7206349206349206,0.6984126984126984,0.5238095238095238
Ham,0.848,0.8,0.714,0.771,0.219,0.2,0.848,0.733,0.581,0.324,0.8095238095238095,0.7714285714285715,0.5428571428571428,0.5428571428571428,0.2666666666666666,0.2285714285714285,0.8095238095238095,0.6571428571428571,0.6095238095238096,0.2571428571428571,0.8,0.8,0.6285714285714286,0.7047619047619048,0.2476190476190476,0.1904761904761904,0.8,0.5619047619047619,0.5904761904761905,0.3333333333333333
Herring,0.688,0.656,0.594,0.593,0.469,0.453,0.453,0.594,0.594,0.5,0.640625,0.625,0.59375,0.609375,0.046875,0.046875,0.046875,0.59375,0.59375,0.046875,0.6875,0.640625,0.59375,0.578125,0.203125,0.203125,0.203125,0.609375,0.59375,0.5625
InsectEPGRegularTrain,0.831,0.795,0.474,0.831,0.474,0.831,0.831,0.831,0.831,0.474,0.8313253012048193,0.7911646586345381,0.4738955823293173,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.4738955823293173,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193
InsectEPGSmallTrain,1.0,0.482,0.169,0.169,0.169,0.169,1.0,0.526,0.169,0.173,0.9076305220883534,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.9076305220883534,0.5261044176706827,0.5261044176706827,0.5220883534136547,1.0,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,1.0,0.5261044176706827,0.5261044176706827,0.5261044176706827
